词语,拼音,翻译,例子
探测,tan4 ce4,Detect,
校准,jiao4 zhun3,Calibrate,
上司,shang4 si1,Superior,
螺丝孔,luo2 si1 kong3,Screwhole,
纸牌,zhi3 pai2,Solitaire,
独一无二,du2 yi1 wu2 er4,One of a kind,
清单,qing1 dan1,Checklist,
提高效率,ti2 gao1 xiao4 lv4,Increase efficiency,
抽认卡,chou1 ren4 ka3,Flashcards,
日记条目,ri4 ji4 tiao2 mu4,Diary entry,
电子表格,dian4 zi biao3 ge2,Spreadsheet,
不知如何,bu4 zhi1 ru2 he2,Somehow,
枯萎,ku1 wei3,Withered,
枯萎病,ku1 wei3 bing4,Blight,
残骸,can2 hai2,"Wreckage, remains",
挖掘,wa1 jue2,Dig,
创客空间,chuang4 ke4 kong1 jian1,Makerspace,
弧形,hu2 xing2,Curved,
凹凹凸凸,ao1 ao1 tu1 tu1,Concave and convex,
以便,yi3 bian4,"So that, in order for",
富有成效,fu4 you3 cheng2 xiao4,Be productive,
笔记,bi3 ji4,Notes,
地平线：西之绝境,di4 ping2 xian4: xi1 zhi1 jue2 di4,Horizon Zero Dawn: Forbidden West,
俯卧撑,fu3 wo4 cheng1,Pushups,
狼狈,lang2 bei4,"Embarssed, in a sorry/defeated state",
更新,geng4 xin1,Update,
忙忙碌碌,mang2 mang2 lu4 lu4,"busily, in a busily fashion",
编辑,bian1 ji2,Edit,
承受,cheng2 shou4,Endure,
负担,fu4 dan1,Burden,
频率,pin2 lv4,Frequency,
设置,she4 zhi4,Settings,
椎名林檎,chui2 ming2 lin2 qin2,Sheena Ringo,
究竟,jiu1 jing4,how did (this happen),
卒于,zu2 yu2,Died (at this time),
讳莫如深,hui4 mo4 ru2 shen1,secretive,
脍炙人口,kuai4 zhi4 ren2 kou3,popular,
青梅竹马,qing1 mei2 zhu2 ma3,childhood sweethearts,
挥金如土,hui1 jin1 ru2 tu3,spend money like dirt (spend alot),
撮合,cuo4 he2,matchmaking,
放荡不羁,fang4 dang4 bu2 ji4,"Unrestrained and undisciplined               (放荡：licentious,不羁:unrestrained)",
郁闷,yu4 men4,Depressed,
杜甫,du4 fu3,Tang dynasty poet,
音韵学,yin1 yun4 xue2,phonology (pronunciation of words),
辅音,fu1 yin1,consonant,
元音/母音,yuan2 yin1/mu3 yin1,vowel,
喉音,hou2 yin1,gutteral,
收集,shou1 ji2,collect,
叉出去,cha1 chu1 qu4,"get out, get this off the screen",
其实不然,qi2 shi2 bu4 ran2,... but that's not true,
寒暄语,han2 xuan1 yu3,greetings,
省略,sheng3 lue4,omit,
简介,jian3 jie2,concise,
杠铃深蹲,gang4 ling2 shen1 dun1,Barbell Squat,
冒险,mao4 xian3,adventures,
演示,yan3 shi4,Military show,
西兰花,xi1 lan2 hua1,Broccoli,
演示文稿,yan3 shi4 wen2 gao3,Presentation,
高级订阅,gao1 ji2 ding4 yue4,Premium subscription,
雄心,xiong2 xin1,Ambitious,
网络教程,wang3 luo4 jiao4 cheng2,Web tutorial,
指定,zhi3 ding4,Specify,
风格,feng1 ge2,Style,
损坏,sun3 huai4,Corrupted (files),
未成年人,wei4 cheng2 nian2 ren2,Underaged people,
百货商店,bai3 huo4 shang1 dian4,Department store,
衣领,yi1 ling3,Collar,
裸身,luo3 shen1,Naked,
伪装,wei4 zhuang1,Disguse,
云储存,yun1 chu3 cun2,Cloud storage,
除此以外,chu2 ci2 yi3 wai4,Aside from that,
纳西,nai3 xi1,Milkshake,
拉起,la1 qi3,Pullup,
意图,yi4 tu2,Intention,
意向,yi4 xiang4,Intention,
柱塞,zhu4 sai1,Plunger,
包裹,bao1 guo3,Packages,
实施,shi2 shi1,Implement,
总和,zong3 he2,Sum,
随机,sui2 ji1,Random,
链条,lian4 tiao2,Metal chains,
反之亦然,fan3 zhi1 yi4 ran2,Vice versa,
定时器,ding4 shi2 qi4,Timer,
持续的,chi2 xu4,Consistent,
故障,gu4 zhang4,glitch,
无形,wu2 xing2,Invisible,
慈悲,ci2 bei1,Pity,
嘟哝,du1 nong,Mumbling,
瞌睡,ke1 shui4,Sleeping,
毅,yi4,,
祭,ji4,Festival,
彗星,hui4 xing1,Comet,
滥用,lan4 yong4,Abuse Miuse,滥用职权
绚烂,xuan4 lan4,Splendid,绚烂花朵
怠惰,dai4 duo4,Lazy,
恳求,ken3 qiu2,Plead,
回溯,hui2 su4,To recall,
敷衍,fu4 yan3,"Perfunctory, do bare minimum",
贩卖机,fan4 mai4 ji1,Vending machine,
罪魁祸首,zui4 kui1 huo4 shou3,Chief culprit,
羞耻,xiu1 chi3,Shame,
罕见,han3 jian4,Rare,
无拘无束,wu2 jv1 wu2 shu4,Free and easy,
铸造,zhu4 zao4,cast (metal into mold); found,
