Word,Pinyin,Translation,Example,Example_Translation
探测,tàn cè,Detect,N/A,N/A
校准,jiào zhǔn,Calibration,该仪器需要校准。,This instrument needs to be calibrated.
上司,shàng sī,Boss,如果你有上司的话，学会尊敬他（她）。,"Be respectful to your superiors, if you have any."
螺丝孔,luó sī kǒng,Screwhole,N/A,N/A
纸牌,zhǐ pái,Card,这时候公园里的工人拿来了一些小纸牌。,"Just then, the workers in the park brought over some small playing cards."
独一无二,dú yī wú èr,Unique,一件传统式样的旗袍是完全手工制作的，也需要劳动密集的裁缝业技术，为了增加而显示每种独一无二的女性体态。,A qipao in the traditional style is made entirely by hand and requires labour-intensive manual tailoring techniques to enhance and exhibit every unique female form.
清单,qīng dān,List,汤姆把他想去的地方列成了一张清单。,Tom made a list of places he wants to visit.
提高效率,tí gāo xiào lǜ,Improve efficiency,N/A,N/A
抽认卡,chōu rèn kǎ,Draw card,其中我最常用的是一种抽认卡系统。,"Of those, the one I use most often is a flashcard system."
日记条目,rì jì tiáo mù,Diary entry,N/A,N/A
电子表格,diàn zi biǎo gé,Spreadsheet,N/A,N/A
不知如何,bù zhī rú hé,Don't know how,她一时间拿不定主意，不知如何是好。,"Suddenly unable to make up her mind, she didn't know what to do."
枯萎,kū wěi,Withered,所有花園裡的花朵都枯萎了。,All the flowers in the garden withered.
枯萎病,kū wěi bìng,Wither,N/A,N/A
残骸,cán hái,Wreckage,船的残骸从海底被打捞上来。,The wreckage of the ship was salvaged after it had gone to Davy Jones's locker.
挖掘,wā jué,Excavate,N/A,N/A
创客空间,chuàng kè kōng jiān,Maker space,N/A,N/A
弧形,hú xíng,Arc,N/A,N/A
凹凹凸凸,āo āo tū tū,Concave and convex,N/A,N/A
以便,yǐ biàn,So that,我爸爸退休了，以便为更年轻的人让路。,My father retired to make way for younger people.
富有成效,fù yǒu chéng xiào,Fruitful,N/A,N/A
笔记,bǐ jì,Notes,有一台笔记本电脑很实用。,It's practical to have a laptop.
地平线：西之绝境,dì píng xiàn ： xī zhī jué jìng,Placing line: western desperate realm,N/A,N/A
俯卧撑,fǔ wò chēng,Push-up,冯迪索在做俯卧撑时，并不是把自身往上推，而是在把地球向下推。,"When Vin Diesel does pushups, he's not pushing himself up - he's pushing the Earth down."
狼狈,láng bèi,Dwarf,N/A,N/A
更新,gēng xīn,Renew,我向他道賀；也向裴林州長道賀，為他們所成就的一切。我迫不及待想和他們攜手合作，在未來數月更新這個國家的許諾。,"I congratulate him, I congratulate Governor Palin for all that they've achieved. And I look forward to working with them to renew this nation's promise in the months ahead."
忙忙碌碌,máng máng lù lù,Busy,N/A,N/A
编辑,biān jí,Edit,你不想做编辑？,You don't want to be an editor?
承受,chéng shòu,Bear,湖上的冰太薄了，承受不了你的重量。,The ice on the lake is too thin to bear your weight.
负担,fù dān,Burden,那个责任对他是个负担。,That responsibility is a burden to him.
频率,pín lǜ,Frequency,N/A,N/A
设置,shè zhì,Set up,大部分程序员讨厌调试，设置故障比纠正它们有意思多了。,Most developers hate debugging; it's more fun to create bugs than to correct them.
椎名林檎,chuí míng lín qín,Shizuka,N/A,N/A
究竟,jiū jìng,After all,“但请告诉我们，您究竟为了什么杀了他？”　“是为了爱情。”,"But tell us, just what did you kill him for? ""For love."""
卒于,zú yú,Died,N/A,N/A
讳莫如深,huì mò rú shēn,Taboo,N/A,N/A
脍炙人口,kuài zhì rén kǒu,Popular,N/A,N/A
青梅竹马,qīng méi zhú mǎ,Blue pluma,N/A,N/A
挥金如土,huī jīn rú tǔ,Waving like a soil,他后悔自己的挥金如土。,He regrets his having wasted his money.
撮合,cuō hé,Match,N/A,N/A
放荡不羁,fàng dàng bù jī,Unruly,N/A,N/A
郁闷,yù mèn,Depressed,N/A,N/A
杜甫,dù fǔ,Du fu,N/A,N/A
音韵学,yīn yùn xué,Phonology,N/A,N/A
辅音,fǔ yīn,Consonant,N/A,N/A
元音/母音,yuán yīn / mǔ yīn,Vowel/mother,N/A,N/A
喉音,hóu yīn,Guttural,N/A,N/A
收集,shōu jí,Collect,她在为一本书收集材料。,She is collecting material for a book.
叉出去,chā chū qù,Go out,N/A,N/A
其实不然,qí shí bù rán,Actually,N/A,N/A
寒暄语,hán xuān yǔ,Glory,N/A,N/A
省略,shěng lüè,Omit,N/A,N/A
简介,jiǎn jiè,Brief introduction,N/A,N/A
杠铃深蹲,gàng líng shēn dūn,Barbell squatting,N/A,N/A
冒险,mào xiǎn,Adventure,他喜欢冒险。,He is fond of adventure.
演示,yǎn shì,Demonstrate,N/A,N/A
西兰花,xī lán huā,Broccoli,汤姆往炖菜里加了西兰花。,Tom added broccoli to the stew.
演示文稿,yǎn shì wén gǎo,Presentation,N/A,N/A
高级订阅,gāo jí dìng yuè,High -level subscription,N/A,N/A
雄心,xióng xīn,Ambitious,这表明了地方领导恢复地区卓越水平的雄心。,It reveals local executives' ambitions of bringing the region back to the top.
网络教程,wǎng luò jiào chéng,Network tutorial,N/A,N/A
指定,zhǐ dìng,Specify,最近，有些胡同被指定为保护区，以试图保存这方面的中国文化历史。,"More recently, some hutongs have been designated as protected areas in an attempt to preserve this aspect of Chinese cultural history."
风格,fēng gé,Style,人们热切地寻求更有现代风格的衣服，所以把以前的旗袍改成了适合他们品位的东西。,People eagerly sought a more modernised style of dress and transformed the old qipao to suit their tastes.
